,Dataset,Idx,Text,Number of C4 examples,Max cosine similarity,Closest C4 key,Closest C4 text,Embedding,Uniquely identifiable,CLosest C4 key
0,auto_debugging,0,"```
if x < 5:
	pass
```
What error does this program surface?",365049127,0.9040810428614340,http://www.onlinecompiler.net/question&id=1456,"While compiling the code below, two error appear on line no. 5. What is the error?",ST5,,
1,auto_debugging,10,"```
import numpy as np
x = numpy.zeros(10)
```
What type of exception does this program produce?",365049127,0.8684955997223750,https://www.tensorflow.org/api_docs/python/tf/make_ndarray,"Create a numpy ndarray from a tensor.
Create a numpy ndarray with the same shape and data as the tensor.
A numpy array with the tensor contents.
TypeError: if tensor has unsupported type.",ST5,,
2,auto_debugging,11,"```
def test(x):
	for i in range(2, x**(0.5)):
		if x % int(i) == 0:
			return False
	return True
```
What is test(101)?",365049127,0.8880566136344090,https://www.i2tutorials.com/python-tutorial/python-ranges/,"Range a kind of data type in python which is an immutable. Range will be used in for loops for number of iterations. Range is a constructor which takes arguments and those must be integers. Below is the syntax.
stop: the value of stop parameter.
step: the value of step parameter. If the value is omitted, it defaults to 1.
start: the value of start parameter. If the value is omitted, it defaults to zero.",ST5,,
3,auto_debugging,12,"```
import numpy
x = numpy.zeros(10)
x += 1
```
What is the value of x at the end of this program?",365049127,0.889837710111904,http://www.8287734.com/topics/392517099,"代码实现：python(3.7.0) total = 0 for x in range(0,10): ? ? total = (total+1000)*(1+0.047) print (total) ? ?",ST5,,
4,auto_debugging,13,"```
x = [1, 2, 3]
print(x[2])
```
What is the output of this program?",365049127,0.8912936973300580,https://placement.freshershome.com/hcl/hcl-technologies-c-language-test-paper_1015.html,"3. What is th output of the following program?
5. What can be said of the following program?",ST5,,
5,auto_debugging,14,"```
x = [1, 2, 3]
print(x[4])
```
What error does this program produce?",365049127,0.9005078968268140,https://upscgk.com/ComputerScience/9be74ffe-6944-4682-9231-8315a3d07504/references,"Q.) Which of the following statement is correct about the program given below?
1) It will result in a compile time error.
2) It will result in a runtime error. .
4) The program will print the output 9 4.",ST5,,
6,auto_debugging,15,"```
print('1' + 2)
```
What type of exception does this program produce?",365049127,0.8920633673753230,https://www.pythonforbeginners.com/error-handling/how-to-handle-errors-and-exceptions-in-python,"If you (and you will) write code that doesn't work, you will get an error message.
Exceptions is what you get after you have first ran the program.
print ""The file does not exist, exiting gracefully""
print ""The file does not exist, exiting gracefully""
print ""This line will always print""
You did an EOF... ""
print ""Oops!  That was no valid number.  Try again...""",ST5,,
7,auto_debugging,16,"```
x = [2*i for i in range(10)]
```
What is x[7] after this program executes?",365049127,0.878215424091099,https://www.cppexamples.xyz/2014/10/combine-statements-that-you-wrote-in.html,"Combine the statements that you wrote in Exercise 2.4 into a program that calculates and prints the sum of the integers from 1 to 10. Use the while structure to loop through the calculation and increment statements. The loop should terminate when the value of x becomes 11.
Combine the statements that you wrote in Exercise 2.4 into a program that calculates and prints the sum of the integers from 1 to 10. Use the while structure to loop through the calculation and increment statements. The loop should terminate when the value of x becomes 11.",ST5,,
8,auto_debugging,17,"```
class MyClass():
	def __init__(self, param):
		self.param = param
x = MyClass(5)
y = MyClass(x.param)
```
What is the value of y.param at the end of this program?",365049127,0.8888317516045990,http://dev.fyicenter.com/1000675_What_Is_Class_Method.html,"What is class method in Python?
Class methods are functions defined inside the class definition statement block.
The second format is easier to use, if the method is performing some operations on the instance of the class. But you have to code the class method to take the first parameter as the instance itself.",ST5,,
9,auto_debugging,1,"```
d = {1: 'hello', 2: 'bye', 3: 'good morning'}
str_ = ''
for i in range(len(d)):
	if i % 2 == 1:
		str_ += d[i]
```
What is the value of str_ after this program executes?",365049127,0.8957905618770800,https://www.code-sample.com/2017/02/javascript-mathematical-operations.html,"""1""+2+3 = ? And 1+2+""3"" = ?
""1""+2+3 = ? And 1+2+""3"" = ? OutPut Will Be?
What will be the output of the above line of code?
If the “string” is at the end the initial characters will perform normal mathematical functions before converting into a “string”, that means the output of 1+2+“3” will be 33.",ST5,,
